"","user","timestamp","message","channel","Team"
"32","U02H9L293M4",2021-10-22 10:34:42,"<!here> *Quick reminder !* :pushpin: 

• Please complete <https://bit.ly/Crowd4SDG-Surveys|Survey ""Team formation""> - Its Mandatory you fill this survey about your personality and competences. 
• Please upload the signed copy of your *consent form* in the<https://drive.google.com/drive/folders/1ktGxHNZzzVosVcdqLj_50N_ji2nwEpsi| following link> *ASAP* .
","0_announcements_read_only","Organizing Team"
"33","U02H9L293M4",2021-10-22 15:04:32,"<!here> Innprogress Log in Trouble shoot, Clear Cache and try resetting the password for those using Non-Google Email ids. If still problem persists please use the Gmail/Google Login.
Those who had registered with another email ID, but used Google login for Innprogress, please DM me. Thank you and sorry for this inconvenience.
 ","0_announcements_read_only","Organizing Team"
"34","U02H9L293M4",2021-10-24 11:09:49,"Yes, it will be one pitch per team. given the time , its practical to work on a single idea.","general","Organizing Team"
"35","U02H9L293M4",2021-10-24 10:28:34,"That will be as a team","0_announcements_read_only","Organizing Team"
"36","U02H9L293M4",2021-10-25 18:26:04,"<!here> :mega:

Dear All,

We hope you are all doing well. The delay in submission of the surveys, caused a delay in the team formation. We tried our best to retain those who have applied as teams and have grouped the rest, based on their expressed interest, skills and personality traits. *Please find an overview of all teams<https://docs.google.com/spreadsheets/d/1IvKROgeuVjLz0fXrZpGORlssLcA29qwFTluaJEV73SI/edit#gid=0| here.>* Please reach out to your mates via slack_*.*_ We let you decide as a team on the idea you would like to proceed. Hope you had a chance to review the video shared by <@U02JB5Z745T>, on the four challenges. 

To be prepared for our next session, please be aware of the following points. 

*Details on the next session : Wednesday, October 27th 12h -14h  GMT*. 

You can join the zoom meeting by clicking at the link below.
<https://unige.zoom.us/j/69244814733?pwd=cW9UWWR6Rjd5UFpCeFVHTkVOdHMxZz09>

Meeting ID: 692 4481 4733
Passcode: 596635

*Consent form*
If you have not yet submitted your consent form, please upload it as soon as possible in <https://drive.google.com/drive/folders/1ktGxHNZzzVosVcdqLj_50N_ji2nwEpsi|this Google Drive folder. >

*Homework*
Please use <https://docs.google.com/presentation/d/1dP68qzyqKMPE_nzkGa7IB3s9JQgQMN_Q/edit#slide=id.p1|this template> to build on your presentation and prepare your 5 minute pitch. Please be mindful of the time. Either one person can present on behalf of the team or the team members can take turns, but please make sure that you do not exceed the 5 minutes. 

If you have any questions feel free to contact us If you have any questions feel free to contact <#C02HNMTDHM5|ask_team_o17> or <@U02H9L293M4> .
We’re excited to hear your pitches and looking forward to seeing you on Wednesday.

Warm regards,
The Open Seventeen Team","0_announcements_read_only","Organizing Team"
"37","U02H9L293M4",2021-10-26 21:06:11,"Yes.","ask_team_o17","Organizing Team"
"38","U02H9L293M4",2021-10-25 19:11:48,"Hi Rachael, you have been teamed up with <@U02JK363QMB> <@U02JTSE3ESV> and <@U02JDPHMGLE> . Please discuss and let us know which idea you would like to proceed working on. If the others are convinced, you can proceed with them on your topic.","0_announcements_read_only","Organizing Team"
"39","U02H9L293M4",2021-10-27 19:50:07,"yes on a different platform. like for example via Goodwall","ask_a_coach","Organizing Team"
"40","U02H9L293M4",2021-10-26 21:58:01,"What made you believe that is the Cause. <@U02K300F449>","ask_team_o17","Organizing Team"
"41","U02H9L293M4",2021-11-15 09:23:14,"<@U02JEFQUSBC> Let me know the time So we could make ourselves available.","0_announcements_read_only","Organizing Team"
"42","U02H9L293M4",2021-10-29 16:36:16,"<@U02JEFQUSBC> Regarding your Question : _We just found out that there's already an app with our project name. is it fine that we continue with the name or should we change it to something unique?_ 

I would recommend having an unique name, thinking on a long run!","ask_team_o17","Organizing Team"
"43","U02H9L293M4",2021-11-15 11:16:37,"Whats your timezone?
11hGMT - <@U02JE4S73U2> is available
12hGMT - <@U02HGD1AC11> is available

let us know ASAP.","0_announcements_read_only","Organizing Team"
"44","U02H9L293M4",2021-11-03 12:18:02,"<!here>
Hey everyone!
Here is the agenda for today’s session:

 *12h00* - Welcome Note
 *12h05* – Expert Talk by Einar Bjorgo by United Nations Satellite Centre (UNOSAT), UNITAR
 *12h25* – Student Q&amp;A
*12h35* – Method: Value Proposition by Jose Luis
*12h45* – Tool: Visual Cit by <@U02JN3Q9XU7> - Politecnico di Milano. Feel free to explore it beforehand (<http://visualcit.polimi.it:7778/>)
*13h00* - Weekly Survey by <@U02GNT00XNJ>
 *13h05* - Project pitches by the Teams in breakout rooms
 *13h50* - Expectations for next week &amp; wrap-up
 *14h00* - End of Session

:warning: Please don’t forget to *upload you slides for the student pitches <https://drive.google.com/drive/folders/1rmYTSyRZFs6p_R0ZOlaTGyuMFfuhT59S|here> before the session starts*.

The zoom link for today's session, is the same as last week:
 <https://unige.zoom.us/j/69244814733?pwd=cW9UWWR6Rjd5UFpCeFVHTkVOdHMxZz09>
 Meeting ID: 692 4481 4733
 Passcode: 596635

 We’re excited to hear your pitches later!","0_announcements_read_only","Organizing Team"
"45","U02H9L293M4",2021-10-27 14:12:08,"Do Check now <@U02JEFQUSBC>","0_announcements_read_only","Organizing Team"
"46","U02H9L293M4",2021-11-15 12:56:09,"","0_announcements_read_only","Organizing Team"
"47","U02H9L293M4",2021-10-27 15:04:29,"","0_announcements_read_only","Organizing Team"
"48","U02H9L293M4",2021-11-15 13:00:04,"Your School/university if you are studying","0_announcements_read_only","Organizing Team"
"49","U02H9L293M4",2021-11-15 09:05:30,"<@U02K300F449> Download the file and check for comments. It is there","rights-of-climate","Organizing Team"
"50","U02H9L293M4",2021-11-15 13:08:44,"One pager is a text describing your project.  where you share more. it is a project summary. This is just the team Name, and a image of your choice explaining your project. Like for example if you have a mock up, etc.,","0_announcements_read_only","Organizing Team"
"51","U02H9L293M4",2021-11-15 13:09:26,"This is more visual, to be shared in Social Networks/in our Blogs/Communication Material","0_announcements_read_only","Organizing Team"
"52","U02H9L293M4",2021-10-27 14:56:08,"Create a Project as a team : You start documenting your project in the platform. And Add me as a Mentor.","inprogress-troubleshoot","Organizing Team"
"53","U02H9L293M4",2021-11-15 14:18:07,"Please Upload in the drive under the folder <https://drive.google.com/drive/folders/13487Dvoa2FKhXNztftMbfjTFNXcTJCH0?usp=sharing|Team Info Slide>","0_announcements_read_only","Organizing Team"
"54","U02H9L293M4",2021-11-03 08:58:36,"kindly check now","0_announcements_read_only","Organizing Team"
"55","U02H9L293M4",2021-10-27 14:54:35,"The Crowdsourcing Tools introduced by <@U02JE4S73U2> today :

CS Data Collection : <https://admin.mindlogger.org/>
CS Data Validation : <https://lab.citizenscience.ch/en/>","cslogger-csprojectbuilder-troubleshoot","Organizing Team"
"56","U02H9L293M4",2021-11-03 12:14:50,"Quick Reminder! We meet in 45 mins! *12h00GMT*
The same link! Some countries have their day light savings time now. Please Check your local time accordingly! for Example For Europeans (CET - it will be at *13h00* this week).","0_announcements_read_only","Organizing Team"
"57","U02H9L293M4",2021-11-01 23:03:02,"1. _*A1: Up Get App/CitiCERN : <@U02HZQN7B1V>*_ <@U02JD97KY4V> 
2. _*A2: Women &amp; Technology Against Climate Change : <@U02JT3UPUE5>*_ _*<@U02JT44J1AM>*_ _*<@U02JBG1KNPP>*_ 
3. _*A3: Rhythm of Bamboos: <@U02JEGV9C9Z>*_ _*<@U02JBFRE7GD>*_ 
4. _*A4: Flood Rangers: <@U02HZR5FQVD>*_ _*<@U02JGN48MS8>*_ 
5. *_A5:_ Donate Water Project: <@U02JK363QMB>* *<@U02JTSE3ESV>* *<@U02JDPHMGLE>* *<@U02JEFQUSBC> (<#C02L81DU05N|team-donate-water-project>)*
6. _*B1: Water Warriors: <@U02KFRM6A2U>*_ _*<@U02JGMKJ7PW>*_ _*<@U02K45TM5GQ> (<#C02K89U420K|team-water-warriors>)*_
7. _*B2: TEAM FOILED <@U02HZR35JSK>*_  Solomon k Musa, Jade Domo
8. _*B3: Eco Winners: <@U02JHCWLZ7D>*_ <@U02JEFAPYN6> Haoma Worgwu 
9. _*B4: Women 4 Sustainable World: Shristi Dhakal, Lionceau Agre <@U02J8QRNXJT> (<#C02LNRHCXFS|women-4-sustainable-world>)*_
10. _*B5: Rights of Climate: <@U02K300F449>*_ _*<@U02JEFGAJRG> (<#C02KZBY68HJ|rights-of-climate>)*_
11. _*C1: Andapé Institute: <@U02JGMUJ5KN>*_ _*<@U02HZQT4EET>*_ _*<@U02JBG5JMK7>  (<#C02KDUCDCH5|team-andapé-institute>)*_
12. _*C2: PAM <@U02JEFS7QJE>*_ *<@U02JMP6K3GA> , <@U02JEFK42PL>* 
13. _*C3: WOMER: <@U02J7P7FRM4>*_ _*<@U02J0CKS2BZ> (<#C02KB9H24MU|>)*_
14. _*C4: Climate Gender Justice: <@U02HZQSS19V>*_ _*<@U02JH0V1V8U> ( <#C02JLERSW4F|climategenderjustice>)*_
15. _*C5: No Team-name Yet: Ashifa Nazrin*_
_*Kindly check if this is the correct team names and these are the team members*_","0_team_info","Organizing Team"
"58","U02H9L293M4",2021-11-03 12:20:45,"Please find your Order of Presentation :
1. Be Prepared to share with your slide deck!
2. Remember *only 5 Minutes*
3. *Do take note of the feedbacks provided.*
4. UPLOAD YOUR SLIDES BEFORE THE SESSION :warning:","0_announcements_read_only","Organizing Team"
"59","U02H9L293M4",2021-11-03 13:18:22,"","0_announcements_read_only","Organizing Team"
"60","U02H9L293M4",2021-11-17 11:26:11,"<!here> AGENDA :

• _Welcome Note_
• _What Next : Challenge Based Innovation Workshop (Dec'21 to Feb'22)  by <@U02HGCBP98S>_ 
• _Final Pitch ( 5 min pitching + 2 min QnA)_
• _Jury Deliberation ( Breakout Room)_ 
• _For one last time, here Survey Time with <@U02GNT00XNJ>_ 
• _Wrap_Up_","0_announcements_read_only","Organizing Team"
"61","U02H9L293M4",2021-10-23 07:34:56,"No one yet Francisca. Not all had submitted their  surveys until last afternoon.","ask_team_o17","Organizing Team"
"62","U02H9L293M4",2021-11-15 09:17:48,"<@U02JHCWLZ7D> here is the <https://drive.google.com/drive/folders/1QgtrYv1QPztZWvp7R-8Lfa52gV6xpKUE|link>","general","Organizing Team"
"63","U02H9L293M4",2021-11-01 23:08:48,"hi, Can you update your team name and an oneliner about your project. Thank you","climategenderjustice","Organizing Team"
"64","U02H9L293M4",2021-11-17 16:05:01,"<!here> :confetti_ball::clap::clap::clap::clap:

Congratulation Teams! For your tremendous work.
A Quick reminder - Please upload the deliverables by Today, since the Coaches will be evaluating your Project Documentation.
_*Canvas*_
_*One Pager*_
_*1-Min Pitch*_
_*Final Slides*_
_*Link to InnProgress.*_ (Even if its incomplete)

Thank you!","0_announcements_read_only","Organizing Team"
"65","U02H9L293M4",2021-11-15 11:14:38,"The submission deadline for Canvas is today","general","Organizing Team"
"66","U02H9L293M4",2021-11-02 14:50:32,"one line describing your project","climategenderjustice","Organizing Team"
"67","U02H9L293M4",2021-11-15 09:11:12,"<!here> Reminder : Please fill in the <https://docs.google.com/forms/d/e/1FAIpQLSeL6-VMYOKhPtubGWLXndaBIB_-0QNnEM3dvAM_ptuoT2szJw/viewform|Team Info form> and Share asap. We need this to share it with the Final Jury. Even if your InnProgress is incomplete now, do share the URL.","0_announcements_read_only","Organizing Team"
"68","U02H9L293M4",2021-11-02 14:54:18,"and is team 12 your project name?","climategenderjustice","Organizing Team"
"69","U02H9L293M4",2021-11-17 12:16:49,"The final pitch slides","team-donate-water-project","Organizing Team"
"70","U02H9L293M4",2021-10-21 18:13:35,"Hi Daniel, Can you let me know if you have a gmail account? and what browser it is?
thanks.","ask_team_o17","Organizing Team"
"71","U02H9L293M4",2021-11-10 10:18:32,"<!here>! Hello!
Here is the agenda for today’s session :

*12h00* - Welcome Note
*12h05* – Expert Talk by Sara Duerto Valero, UNWomen
*12h25* – Student Q&amp;A
*12h35* –  <@U02JT0B8E9E> Joining us from COP26
*12h45* – Tool: Decidim4CS by <@U02KFCYC49F>
*13h05* - Project pitches by the Teams in breakout rooms
*13h50* - Expectations for next week &amp; wrap-up
*14h00* - End of Session

:warning: Please don’t forget to *upload you slides for the student pitches <https://drive.google.com/drive/folders/19-zKCxS3av3f7LHSdtnLOklxLl-wLrpE|here> before the session starts*.

The zoom link for today's session, is the same as last week:
 <https://unige.zoom.us/j/69244814733?pwd=cW9UWWR6Rjd5UFpCeFVHTkVOdHMxZz09>
 Meeting ID: 692 4481 4733
 Passcode: 596635

 We’re excited to hear your pitches later! 
1. Be Prepared to share with your slide deck!
2. Remember *only 5 Minutes*
3. *Do take note of the feedbacks provided.*
4. UPLOAD YOUR SLIDES BEFORE THE SESSION :warning:
As mentioned before, Upload your Previous week's presentations without fail as well.","0_announcements_read_only","Organizing Team"
"72","U02H9L293M4",2021-11-10 11:45:37,"Your order of presentation :","0_announcements_read_only","Organizing Team"
"73","U02H9L293M4",2021-11-10 11:45:55,"Please upload your files before hand!","0_announcements_read_only","Organizing Team"
"74","U02H9L293M4",2021-11-10 11:46:07,"And be ready with your slides to share on time","0_announcements_read_only","Organizing Team"
"75","U02H9L293M4",2021-11-03 08:59:31,"Can you check now","climategenderjustice","Organizing Team"
"76","U02H9L293M4",2021-10-20 16:35:22,"click the menu on the right top corner","inprogress-troubleshoot","Organizing Team"
"77","U02H9L293M4",2021-11-11 17:50:17,"<!here> Mentor Availability (Will be updated )

Friday,12th Nov 2021 : 
*10h00 GMT to 14h00 GMT : <@U02KFCYC49F>* *<@U02K1AW5ALW>* *<@U02JEGP6DK5>* *<@U02H9L293M4>* 

Monday, 15th Nov 2021:
*11h-14h :* <@U02JE4S73U2> <@U02H9L293M4>
*13h-14h :* Daniel Akinmade Emejulu

*Please let us know before hand so we could organize the call either via slack or zoom.*

You can pitch your project to them and get the feedback on the content, Or if you have any specific doubts, please feel free to use the opportunity, before you pitch in front of the Jury, next week.","0_announcements_read_only","Organizing Team"
"78","U02H9L293M4",2021-11-12 12:46:47,"Please fill in the <https://docs.google.com/forms/d/e/1FAIpQLSeL6-VMYOKhPtubGWLXndaBIB_-0QNnEM3dvAM_ptuoT2szJw/viewform|Team Info form> and Share asap. We need this to share it with the Final Jury. Even if your InnProgress is incomplete now, do share the URL.","0_announcements_read_only","Organizing Team"
"79","U02H9L293M4",2021-10-27 09:40:55,"Yes, Please and Share the link with me!","crowd4sdg-project","Organizing Team"
"80","U02H9L293M4",2021-10-21 10:51:25,"Can you check that now <@U02JGN48MS8>","ask_team_o17","Organizing Team"
"81","U02H9L293M4",2021-11-15 15:28:25,"<!here> Mentor availability to give feedback on your pitches.

Tuesday 16th November, Mentors are available to give a one on one feedback on your pitches . Please let us know before hand, so we could share the zoom details.
You can also get a feedback on your slides. use <#C02J3CX43QS|ask_a_coach> .

All the best for the D-Day :)","0_announcements_read_only","Organizing Team"
"82","U02H9L293M4",2021-11-07 12:25:06,"You need not add Personas to your slide. But do prepare personas to understand the point of view of different stakeholders. One of them could be those who are affected by the problem, one of them could be those who might be the roadblock for your solution.","ask_a_coach","Organizing Team"
"83","U02H9L293M4",2021-10-20 13:32:26,"*Information channels (read-only):*
• *<#C02HWLNR4NA|0_announcements_read_only>*: Here you will get news during the whole open 17 session.
• *<#C02J3BPQZAN|0_crowdsourcing_toolkit>:* Some tools we think might be helpful for your team.
• *<#C02JS3ZL6UR|0_channel-directory>:* Explanation (once again) on which channel has which scope.(_will be updated regularly_)
• *<#C02J0BWEMV3|0_team_info>:* Information on team names &amp; details (_will be updated as we progress_)
• *<#C02HNPTHLAK|0_know_your_mentors>  :* List of Mentors and Coaches, their Slack IDs and Domain Expertise (_will be updated regularly)_

_We prefixed these channels with 0 so that Slack sorts them to the very top for you #lifehack_

*General Exchange Channels :*
• *<#C02JT4RN11N|introductions>*: Introduce yourselves, share pleasantries.
• *<#C02JSR006N5|inprogress-troubleshoot>  :* Troubleshoot for documenting platform inprogress
• *<#C02J3CX43QS|ask_a_coach>:* Project related queries.
• *<#C02HNMTDHM5|ask_team_o17>:* Program related queries","0_channel-directory","Organizing Team"
"84","U02H9L293M4",2021-11-17 12:23:36,"Please upload in the drive specified","rights-of-climate","Organizing Team"
"85","U02H9L293M4",2021-11-15 12:55:52,"<!here> Use this <https://docs.google.com/presentation/d/11IhU5MDgVUq4ELgSCQn-EVvzeKehQ3oTFQVRXEF5lqo/edit#slide=id.p|template> to create a Slide about your project. This is to be shared in the Crowd4SDG Social Networks. Upload the slide <https://drive.google.com/drive/folders/13487Dvoa2FKhXNztftMbfjTFNXcTJCH0?usp=sharing|here>.
<@U02M87RPW4D> FYI.","0_announcements_read_only","Organizing Team"
"86","U02H9L293M4",2021-11-12 12:18:01,"Comments from Mentor, Thank you <@U02K1AW5ALW> .
<@U02K300F449> Please take a look and reflect. And do post your questions or queries","rights-of-climate","Organizing Team"
"87","U02H9L293M4",2021-10-27 09:42:58,"Could you please make your Project Public or Unlisted and Share the link with me please!","inprogress-troubleshoot","Organizing Team"
"88","U02H9L293M4",2021-11-09 10:34:29,"Sure, Please do.","ask_a_coach","Organizing Team"
"89","U02H9L293M4",2021-10-27 13:57:12,"I was able to add 2 Team members and not a third one now.","inprogress-troubleshoot","Organizing Team"
"90","U02H9L293M4",2021-11-16 09:41:56,"A mentor might be around for providing you guys a feedback","team-andapé-institute","Organizing Team"
"91","U02H9L293M4",2021-11-16 19:06:00,"Yes, please.","ask_a_coach","Organizing Team"
"92","U02H9L293M4",2021-11-16 15:01:17,"<@U02K6SY8SV9> Is available over the next hour. (from 14h30 GMT to 15h30GMT) Can you make yourself available ?","team-andapé-institute","Organizing Team"
"93","U02H9L293M4",2021-10-25 18:27:02,"Please check your team mates, discuss on your ideas and then can finalize your team Name.","ask_team_o17","Organizing Team"
"94","U02H9L293M4",2021-10-21 11:44:35,"that is being addressed now <@U02JEFQUSBC> Will get back to you shortly","crowd4sdg-project","Organizing Team"
"95","U02H9L293M4",2021-10-20 10:15:48,"_VaNakkam,_ I am Amudha Ravi Shankar, from India, currently living in Geneva, Switzerland. And I love _desi music and movies_ :slightly_smiling_face: Happy to have you all on board here! _Bienvenue_","introductions","Organizing Team"
"96","U02H9L293M4",2021-10-26 00:48:54,"You have to work on the First column only, the one with the questions!","ask_team_o17","Organizing Team"
"97","U02H9L293M4",2021-11-16 18:41:09,"Hi, Yes, that was the possible hour.","team-andapé-institute","Organizing Team"
"98","U02H9L293M4",2021-11-16 13:47:16,"what do you mean by a mark up?","ask_team_o17","Organizing Team"
"99","U02H9L293M4",2021-11-17 11:22:21,"<!here> Wishing everyone the very best for your Final Pitching session. Hope you had a good learning experience. We saw some tremendous improvement in your pitches over these weeks. Bravo! Give yourself a Pat :slightly_smiling_face:

*Quick reminder :* 
1. *Please Upload your slides and other deliverables, before the starting of the session.* 
2. *Remember We are on a very tight schedule today as we will have all the 14 pitches in one room. SO inorder to save time, please be ready with your slides when the team before is presenting.* 
3. *If you have uploaded before hand we can share the screen to avoid if there are network issues.*
4. *Those anticipating network issues, please share a video of your 5 min pitch, So the jury members can evaluate your project.*
5. *Last but not the least, do stay and encourage other team members and don't hesitate to share your feedbacks or raise your questions using the Chat function during other pitches.*
*Once again, All the very best for your Pitches! See you Soon* :slightly_smiling_face:","0_announcements_read_only","Organizing Team"
"100","U02H9L293M4",2021-11-02 13:58:42,"Hello <@U02GNT00XNJ> , <@U02JH0V1V8U> has been trying to access the survey but she is not able to go through with her email. She is using the same email but it's rejecting it. Kindly assist","surveys_troubleshoot","Organizing Team"
